Date,DXY
2000-01-03,100.22000122070312
2000-01-04,100.41000366210938
2000-01-05,100.37999725341797
2000-01-06,100.6500015258789
2000-01-07,100.80000305175781
2000-01-10,100.98999786376953
2000-01-11,100.55999755859375
2000-01-12,100.62000274658203
2000-01-13,101.0
2000-01-14,101.72000122070312
2000-01-17,102.05000305175781
2000-01-18,101.86000061035156
2000-01-19,101.76000213623047
2000-01-20,101.36000061035156
2000-01-21,101.76000213623047
2000-01-24,102.19999694824219
2000-01-25,102.41000366210938
2000-01-26,102.44000244140625
2000-01-27,103.16999816894531
2000-01-28,104.4800033569336
2000-01-31,105.12999725341797
2000-02-01,104.91999816894531
2000-02-02,104.79000091552734
2000-02-03,103.80000305175781
2000-02-04,104.29000091552734
2000-02-07,104.63999938964844
2000-02-08,104.22000122070312
2000-02-09,103.68000030517578
2000-02-10,104.12999725341797
2000-02-11,104.19000244140625
2000-02-14,104.72000122070312
2000-02-15,104.69000244140625
2000-02-16,104.27999877929688
2000-02-17,104.2699966430664
2000-02-18,104.62999725341797
2000-02-21,104.58000183105469
2000-02-22,103.27999877929688
2000-02-23,103.52999877929688
2000-02-24,104.01000213623047
2000-02-25,105.26000213623047
2000-02-28,105.2699966430664
2000-02-29,105.91999816894531
2000-03-01,104.88999938964844
2000-03-02,105.6500015258789
2000-03-03,106.0
2000-03-06,106.16000366210938
2000-03-07,106.08999633789062
2000-03-08,105.93000030517578
2000-03-09,105.37000274658203
2000-03-10,105.70999908447266
2000-03-13,105.5
2000-03-14,105.30000305175781
2000-03-15,105.37999725341797
2000-03-16,105.18000030517578
2000-03-17,105.19999694824219
2000-03-20,105.1500015258789
2000-03-21,105.80999755859375
2000-03-22,106.04000091552734
2000-03-23,105.2300033569336
2000-03-24,104.7699966430664
2000-03-27,105.44999694824219
2000-03-28,105.52999877929688
2000-03-29,106.25
2000-03-30,105.47000122070312
2000-03-31,105.44000244140625
2000-04-03,105.54000091552734
2000-04-04,105.16999816894531
2000-04-05,105.29000091552734
2000-04-06,105.5199966430664
2000-04-07,105.97000122070312
2000-04-10,105.68000030517578
2000-04-11,105.94000244140625
2000-04-12,105.95999908447266
2000-04-13,106.13999938964844
2000-04-14,105.75
2000-04-17,106.12999725341797
2000-04-18,106.62999725341797
2000-04-19,107.12999725341797
2000-04-20,107.44999694824219
2000-04-24,107.27999877929688
2000-04-25,108.69000244140625
2000-04-26,108.55000305175781
2000-04-27,109.56999969482422
2000-04-28,110.13999938964844
2000-05-01,109.62999725341797
2000-05-02,110.26000213623047
2000-05-03,111.26000213623047
2000-05-04,111.80000305175781
2000-05-05,111.30999755859375
2000-05-08,111.44999694824219
2000-05-09,110.75
2000-05-10,110.80000305175781
2000-05-11,111.5199966430664
2000-05-12,109.9000015258789
2000-05-15,110.55999755859375
2000-05-16,111.30999755859375
2000-05-17,112.0999984741211
2000-05-18,112.20999908447266
2000-05-19,111.47000122070312
2000-05-22,111.05999755859375
2000-05-23,111.13999938964844
2000-05-24,111.22000122070312
2000-05-25,110.75
2000-05-26,109.12000274658203
2000-05-30,108.93000030517578
2000-05-31,108.73999786376953
2000-06-01,109.05000305175781
2000-06-02,108.12000274658203
2000-06-05,107.45999908447266
2000-06-06,106.58999633789062
2000-06-07,106.18000030517578
2000-06-08,106.70999908447266
2000-06-09,106.98999786376953
2000-06-12,106.97000122070312
2000-06-13,106.4000015258789
2000-06-14,106.45999908447266
2000-06-15,106.87999725341797
2000-06-16,105.95999908447266
2000-06-19,106.33000183105469
2000-06-20,106.33000183105469
2000-06-21,107.43000030517578
2000-06-22,107.70999908447266
2000-06-23,108.01000213623047
2000-06-26,108.11000061035156
2000-06-27,107.36000061035156
2000-06-28,107.5999984741211
2000-06-29,106.83999633789062
2000-06-30,106.83999633789062
2000-07-03,107.05999755859375
2000-07-04,107.29000091552734
2000-07-05,107.12000274658203
2000-07-06,107.37000274658203
2000-07-07,107.6500015258789
2000-07-10,107.01000213623047
2000-07-11,107.13999938964844
2000-07-12,108.12000274658203
2000-07-13,108.54000091552734
2000-07-14,108.44999694824219
2000-07-17,108.69999694824219
2000-07-18,109.37999725341797
2000-07-19,109.58999633789062
2000-07-20,108.61000061035156
2000-07-21,108.41999816894531
2000-07-24,108.69000244140625
2000-07-25,108.37999725341797
2000-07-26,108.11000061035156
2000-07-27,108.88999938964844
2000-07-28,109.73999786376953
2000-07-31,109.56999969482422
2000-08-01,110.05000305175781
2000-08-02,110.66999816894531
2000-08-03,110.9800033569336
2000-08-04,110.8499984741211
2000-08-07,110.80000305175781
2000-08-08,111.31999969482422
2000-08-09,111.44000244140625
2000-08-10,110.9000015258789
2000-08-11,111.20999908447266
2000-08-14,111.08000183105469
2000-08-15,110.51000213623047
2000-08-16,110.26000213623047
2000-08-17,110.11000061035156
2000-08-18,111.01000213623047
2000-08-21,111.45999908447266
2000-08-22,111.79000091552734
2000-08-23,111.41999816894531
