Date,Price,DXY,DFII10,VIX,CPI,Sentiment_Score,Exponential_Weighted_Score,EMA30,EMA252,RSI,Band_Spread
2004-12-06,453.1,81.27999877929688,1.7,13.1899995803833,190.3,-0.088449,0.3796741161301292,452.7137286935345,452.7137286935345,73.53951890034371,29.094365524390696
2004-12-07,451.8,81.23999786376953,1.69,13.670000076293944,190.3,-0.45152536,-0.0842984419426641,451.89137286935346,451.89137286935346,65.77946768060838,27.490277707305268
2004-12-08,436.9,81.9000015258789,1.62,13.1899995803833,190.3,-0.38160866,-0.4631434702924925,438.3991372869353,438.3991372869353,43.57682619647353,26.271289111550345
2004-12-09,437.1,82.02999877929688,1.64,12.880000114440918,190.3,0.0,-0.3042619738806492,437.22991372869353,437.22991372869353,38.29201101928377,25.082130355326967
2004-12-10,434.0,82.55000305175781,1.66,12.760000228881836,190.3,-0.12451908,-0.4511721603697931,434.32299137286935,434.32299137286935,31.45161290322585,25.874604497430596
2004-12-13,435.1,82.0999984741211,1.65,12.539999961853027,190.3,0.4473488,0.0424549956179874,435.02229913728695,435.02229913728695,32.71767810026397,26.67603695026935
2004-12-14,437.1,82.31999969482422,1.62,12.729999542236328,190.3,-0.23822886,-0.1971657046923894,436.8922299137287,436.8922299137287,35.44303797468359,27.249451950134016
2004-12-15,439.0,81.62999725341797,1.57,12.350000381469728,190.3,0.41413116,0.2234293159586402,438.78922299137287,438.78922299137287,34.278350515463984,27.910684617063453
2004-12-16,439.5,82.5,1.64,12.270000457763672,190.3,0.020533789,0.2992171649329851,439.4289222991373,439.4289222991373,35.29411764705888,28.295545492896053
2004-12-17,438.9,82.16000366210938,1.64,11.949999809265137,190.3,0.07122757,0.360635229463763,438.9528922299137,438.9528922299137,34.26395939086295,28.96703026043508
2004-12-20,442.5,81.66999816894531,1.62,11.829999923706056,190.3,0.0,0.1672511948905309,442.1452892229913,442.1452892229913,36.67481662591697,28.998983648315516
2004-12-21,441.0,81.94000244140625,1.59,11.550000190734863,190.3,0.0,0.1617680485229753,441.11452892229914,441.11452892229914,35.799522673031134,29.091876239967405
2004-12-22,441.0,81.93000030517578,1.63,11.449999809265137,190.3,-0.10406522,0.052399441074976,441.01145289222995,441.01145289222995,33.7438423645321,29.064364145144623
2004-12-23,441.1,81.33999633789062,1.62,11.229999542236328,190.3,0.23994274,0.1841349082879029,441.09114528922305,441.09114528922305,39.20454545454557,28.497711819566007
2004-12-24,441.1,81.22000122070312,1.62,11.229999542236328,190.3,0.0,0.2971082544202931,441.09911452892237,441.09911452892237,30.519480519480638,27.811478130317482
2004-12-27,441.1,80.72000122070312,1.67,12.140000343322754,190.3,0.10701485,0.2873860627614195,441.0999114528923,441.0999114528923,31.864406779661138,26.87855729217813
2004-12-28,441.1,80.72000122070312,1.69,12.0,190.3,0.0,0.2779644269569771,441.09999114528927,441.09999114528927,64.38356164383563,25.050483764704722
2004-12-29,440.3,80.97000122070312,1.73,11.619999885559082,190.3,0.0,0.2688516691140427,440.37999911452897,440.37999911452897,60.52631578947357,23.04050438052252
2004-12-30,435.6,80.52999877929688,1.7,12.5600004196167,190.3,0.0,0.1763211998636371,436.0779999114529,436.0779999114529,54.76190476190481,20.420423213393974
2004-12-31,435.6,80.8499984741211,1.68,13.289999961853027,190.3,0.0,0.3362456591237961,435.6477999911453,435.6477999911453,51.59235668789809,19.493145894023428
2005-01-03,435.6,81.30000305175781,1.7,14.079999923706056,190.3,-0.32775566,-0.2098466725413956,435.60477999911456,435.60477999911456,44.52554744525549,15.59330490621835
2005-01-04,427.8,82.56999969482422,1.78,13.979999542236328,190.3,0.0,-0.2029670803146131,428.58047799991147,428.58047799991147,21.428571428571573,14.052592943104173
2005-01-05,426.0,82.54000091552734,1.79,14.09000015258789,190.3,0.0,-0.1963130279481182,426.2580477999912,426.2580477999912,17.7033492822968,17.72010455010559
2005-01-06,424.4,83.1500015258789,1.76,13.579999923706056,190.3,-0.22116615,-0.3795714438400845,424.5858047799991,424.5858047799991,16.894977168949907,21.263222511709046
2005-01-07,422.2,83.61000061035156,1.8,13.489999771118164,190.3,0.21735957,0.0108932235220526,422.4385804779999,422.4385804779999,0.48780487804889106,24.918900034930516
2005-01-10,420.0,83.29000091552734,1.77,13.229999542236328,190.3,0.20702879,0.3882181188314194,420.24385804779996,420.24385804779996,0.4716981132076512,28.876936708863013
2005-01-11,421.4,83.0199966430664,1.76,13.1899995803833,190.3,0.0,0.3754908150325855,421.28438580477996,421.28438580477996,6.637168141592923,31.463502665842157
2005-01-12,426.6,82.13999938964844,1.73,12.5600004196167,190.3,0.4289181,0.7920988618826277,426.068438580478,426.068438580478,23.826714801444083,32.00642040859714
2005-01-13,423.6,82.51000213623047,1.7,12.84000015258789,190.3,-0.31555367,0.2914019361613723,423.84684385804786,423.84684385804786,21.49837133550494,32.91084607659161
